ID;Mnemonic name;Papers;Collaboration subject;Multi-views;Multi-view scenarios;Language-specific;Language(s) adaptation;Modeling framework;Reuse support;Validation support;Editor type;Client type;Tool support - CLIENT;Workspace awareness;Roles;Approach-specific stakeholders;Stakeholder types;Collaborating parties;Collaboration types;Collaboration workflow;Diff/merge domain;Versioning support;VCS architecture;Branching;Model merging support;Conflict detection;Conflict resolution support;Consistency model;Conflict awareness - user;Conflict mgmt approach;Locking;Network architecture;Shared workspace;Communication type;Communication means - builtin;Communication means - external;Communication means - mixed;Communication means links;Design decision: discussion;Design decision: session history
10;SLIM;1;M1;;MULTI-USER SINGLE-VIEW;UML;;UML;;;GRA;BROWSER;RTU;UPED, USERS, NTF, HSE, STATUS;;;TECH;HUMAN-HUMAN;SYNCH;YES;SYNTACTIC;;;;;;;STRONG;;;PESSIMISTIC: PARTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT;;;;CHAT;
40;SPACE-DESIGN;2;M1;;MULTI-USER SINGLE-VIEW;;IMPORT;CUSTOM;;;GRA;DESKTOP;INS;UPED, USERS, COLORS, USER_ACTION, POINTERS, WHITEBOARD;;;TECH;HUMAN-HUMAN;SYNCH;;SYNTACTIC;;;;;;;STRONG;;;PESSIMISTIC: TOTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, PROPOSALS, VOTING, ANNOTATIONS;;;CHAT, ANNOTATIONS;CHAT;
39;SPACECLIPSE;4;M1;;;;IMPORT;EMF;;;GRA, TREE;DESKTOP;INS;UPED, USERS, OVER, COLORS, WHITEBOARD, USER_ACTION, POINTERS;CONFIGURABLE;;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;;;;;YES;;;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, PROPOSALS, VOTING;;;CHAT;CHAT;
34;STEVE;2;M1;;MULTI-USER SINGLE-VIEW;UML;;UML;ELEM;;GRA, TREE;BROWSER;RTU;NTF, USER_ACTION, LOCK, HCE, EMAILNOTIF;;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;MODELS;CENTRALIZED;YES;YES;YES;MANUAL;STRONG;WARNING;;PESSIMISTIC: TOTLOCK;CENTRALIZED: MULTIPLE SERVERS;REMOTE;SYNCHRONOUS;CHAT;;;;CHAT;
C3;SERVCS;1;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;;RDF;;RULES;EXTERNAL;DESKTOP;;VCS;USER;DEVELOPER, MODELER;TECH;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;;SYNTACTIC;EXTERNAL: GENERIC VCS;DISTRIBUTED;;YES;YES;SEMIAUTOMATED, MANUAL;STRONG EVENTUAL;WARNING;ALLOW&RESOLVE;OPTIMISTIC;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;;;;;;
C13;STIGMERGIC;1;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;;CUSTOM;;RULES;GRA;BROWSER;RTU;;MODELER;MODEL ENGINEER;TECH;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;;SEMANTIC;;;;YES;YES: INCREMENTAL;SEMIAUTOMATED;EVENTUAL;;ALLOW&RESOLVE;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;FEEDBACK;;;;;
C18;SUNYE;1;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;;EMF;;RULES;;DESKTOP;RTU;;MODELER;MODELER;TECH;HUMAN-HUMAN;REAL-TIME;;SYNTACTIC;;;;;YES: INCREMENTAL;SEMIAUTOMATED;STRONG EVENTUAL;;PREVENTIVE;;P2P;REMOTE;ASYNCHRONOUS;CALLFORATTENTION;;;;;
20;SYSIPHUS;3;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;UML;;RAT;;;GRA;DESKTOP;RTU, INS;EMAILNOTIF;;;TECH, NONTECH;HUMAN-HUMAN;ASYNC;PART;SYNTACTIC;ADHOC;CENTRALIZED;YES;YES;;MANUAL;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;COMMENTS, ANNOTATIONS;;EMAIL, WIKI;WIKI, COMMENTS, ANNOTATIONS;COMMENTS;YES
C16;TESTMEREQ;1;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;;CUSTOM;;;TAB, TEX;DESKTOP;RTU;UPED, HSE, COLORS, USERS;REQUIREMENTS ENGINEER, USER;REQUIREMENTS ENGINEER, END-USER;TECH, NONTECH;HUMAN-HUMAN;REAL-TIME;YES;SYNTACTIC;;;;;;MANUAL;STRONG EVENTUAL;WARNING;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, COMMENTS, NOTES, ANNOTATIONS;;;COMMENTS, NOTES, ANNOTATIONS;CHAT, COMMENTS;CHAT, COMMENTS, ANNOTATIONS
C14;TOUCHCORE;1;M1, M2;SYNTHETIC;MULTI-USER SINGLE-VIEW;;;EMF;;;GRA;DESKTOP;INS;UPED;MODELER;MODELER, LANGUAGE ENGINEER;TECH;HUMAN-HUMAN;REAL-TIME;;SYNTACTIC;;;;;YES: INCREMENTAL;SEMIAUTOMATED;EVENTUAL;WARNING;ALLOW&RESOLVE;OPTIMISTIC;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;NOTIFICATIONS, CHANGE HIGHLIGHTING, CHAT, AUDIO;;;NOTIFICATIONS, CHANGE HIGHLIGHTING;;
C19;TROLS;1;M1;PROJECTIVE;MULTI-VIEW MULTI-MODEL;;;;;RULES;TREE, TAB;BROWSER;;;USER;MODELERS;TECH;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;;SEMANTIC;INTERNAL: MODELS;CENTRALIZED;;;YES: INCREMENTAL;MANUAL;EVENTUAL;WARNING;PREVENTIVE;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;;;;;;
21;UNICASE;5;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;UML;EX;EMF;;CONSTRAINTS;GRA, TEX, TREE, TAB;DESKTOP;INS;NTF, DASHBOARD;READER, USER, PROJECTADMIN, SERVERADMIN;;TECH;HUMAN-HUMAN;ASYNC;PART;SYNTACTIC;MODELS;CENTRALIZED;YES;YES;;MANUAL;STRONG;;;OPTIMISTIC;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;ANNOTATIONS, PROPOSALS, COMMENTS;;;ANNOTATIONS, PROPOSALS, COMMENTS;COMMENTS;YES
15;WEKMU;1;M1;;MULTI-VIEW SINGLE-MODEL;UML;;WEKMU;;;GRA, TREE;DESKTOP;INS;NTF, UPED;;;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;;;;;;;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;;;;;;;
13;WEBGME;6;M1, M2;PROJECTIVE;MULTI-VIEW MULTI-MODEL;;COLL_DEFINITION;CUSTOM, WEBGME;PACK;;TEX, GRA, TREE;BROWSER;RTU;NTF, UPED;MODELER;;TECH;HUMAN-HUMAN;SYNCH, REAL-TIME;YES;SYNTACTIC;ADHOC, INTERNAL: MODELS;CENTRALIZED;YES, MULTI-BRANCHING;;YES;MANUAL;EVENTUAL;PROMPT ACTION;ALLOW&RESOLVE;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;;;;;;
48;WIMMER;2;M1;;MULTI-USER SINGLE-VIEW;;INFER;UML;;CONSTRAINTS, OCLCHECKER;GRA, TREE;DESKTOP;INS;HCE, USER_ACTION;;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;ADHOC;CENTRALIZED;;YES;YES;MANUAL, AUTO;STRONG;;;;CENTRALIZED: SINGLE SERVER;SAMEPLACE;ASYNCHRONOUS;PROPOSALS, VOTING;FACE-TO-FACE;;PROPOSALS, VOTING;FACE-TO-FACE;YES
C23;YJS;7;M2, M1;PROJECTIVE;MULTI-VIEW SINGLE-MODEL;;EX;YJS;ELEM;;GRA;BROWSER;RTU;USER_ACTION;METAMODELER, MODELER;;TECH;HUMAN-HUMAN;REAL-TIME;PARTIAL;SYNTACTIC;;;;;;SEMIAUTOMATED;STRONG EVENTUAL;;;;P2P, MIXED;REMOTE;SYNCHRONOUS;TAGS;CHAT, VIDEO, VOICE COMMUNICATION CHANNELS;;;;
C5;ZERROUK;2;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;UML;;CUSTOM;;RULES;;DESKTOP;;CONFLICTLIST;MODELER, COORDINATOR;DEVELOPER, COORDINATOR;TECH;HUMAN-HUMAN;REAL-TIME;;SYNTACTIC;;;;;YES: INCREMENTAL;SEMIAUTOMATED;EVENTUAL;PROMPT ACTION;PREVENTIVE;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;CONFLICTSLIST;;;;SUGGESTIONS FROM APPROACH;
6;XOWIKI;2;M1;;MULTI-VIEW MULTI-MODEL;BPMN;;TEXTUAL, BPMN, EPC;FRAG;;GRA;BROWSER;RTU;WIKI, USERS, HSE, NTF, STATUS, HCE;;NONTECH, DOMAIN (PROCESS) EXPERT, MODELING EXPERT;TECH, NONTECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;WIKI;CENTRALIZED;;YES;YES;MANUAL, AUTO;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;ANNOTATIONS, COMMENTS, TAGS;;;ANNOTATIONS;COMMENTS;YES
